Time, Yaw, MyYaw, TransX, TransY, TransZ
0.000035,1.570796,90.524992,2.500000,6.508000,0.000000
1.405410,1.618325,93.264052,3.139024,6.542079,0.000000
1.415553,1.619154,93.311864,3.151081,6.543118,0.000000
1.425641,1.619986,93.359803,3.163195,6.544175,0.000000
1.435572,1.620812,93.407372,3.175239,6.545237,0.000000
1.445560,1.621648,93.455585,3.187470,6.546328,0.000000
1.455554,1.622492,93.504201,3.199828,6.547444,0.000000
1.465559,1.623343,93.553237,3.212317,6.548584,0.000000
1.475555,1.624199,93.602601,3.224914,6.549748,0.000000
1.485628,1.625069,93.652717,3.237729,6.550944,0.000000
1.495510,1.625928,93.702240,3.250417,6.552143,0.000000
1.505516,1.626804,93.752743,3.263382,6.553381,0.000000
1.515557,1.627690,93.803782,3.276509,6.554649,0.000000
1.525594,1.628582,93.855164,3.289752,6.555942,0.000000
1.535561,1.629473,93.906544,3.303019,6.557252,0.000000
1.545572,1.630375,93.958503,3.316462,6.558594,0.000000
1.555553,1.631280,94.010658,3.329982,6.559958,0.000000
1.565567,1.632194,94.063327,3.343662,6.561354,0.000000
1.575555,1.633111,94.116211,3.357424,6.562773,0.000000
1.585614,1.634042,94.169820,3.371402,6.564231,0.000000
1.595464,1.634958,94.222648,3.385203,6.565685,0.000000
1.605512,1.635899,94.276873,3.399396,6.567197,0.000000
1.615550,1.636845,94.331388,3.413692,6.568735,0.000000
1.625483,1.637787,94.385664,3.427953,6.570287,0.000000
1.635556,1.638748,94.441044,3.442532,6.571890,0.000000
1.645636,1.639715,94.496795,3.457236,6.573524,0.000000
1.655556,1.640673,94.551985,3.471820,6.575161,0.000000
1.665630,1.641651,94.608360,3.486745,6.576855,0.000000
1.675561,1.642621,94.664256,3.501571,6.578555,0.000000
1.685570,1.643604,94.720913,3.516627,6.580299,0.000000
1.695557,1.644591,94.777761,3.531762,6.582070,0.000000
1.705568,1.645585,94.835062,3.547047,6.583877,0.000000
1.715550,1.646582,94.892507,3.562397,6.585711,0.000000
1.725551,1.647586,94.950376,3.577890,6.587581,0.000000
1.735569,1.648597,95.008654,3.593521,6.589487,0.000000
1.745651,1.649620,95.067616,3.609364,6.591438,0.000000
