Time, Yaw, MyYaw, TransX, TransY, TransZ
0.000057,1.570796,90.524992,2.500000,6.508000,0.000000
1.404662,1.209664,69.712936,3.004624,6.525714,0.000000
1.414756,1.202976,69.327520,3.014270,6.526411,0.000000
1.424888,1.196198,68.936905,3.024056,6.527129,0.000000
1.434786,1.189514,68.551676,3.033717,6.527848,0.000000
1.444880,1.182633,68.155132,3.043670,6.528600,0.000000
1.454832,1.175786,67.760524,3.053584,6.529360,0.000000
1.464833,1.168841,67.360328,3.063648,6.530142,0.000000
1.474797,1.161861,66.958040,3.073774,6.530941,0.000000
1.484785,1.154800,66.551144,3.084025,6.531761,0.000000
1.494816,1.147647,66.138886,3.094422,6.532604,0.000000
1.504797,1.140467,65.725100,3.104867,6.533463,0.000000
1.514741,1.133251,65.309260,3.115374,6.534339,0.000000
1.524793,1.125895,64.885348,3.126096,6.535245,0.000000
1.534846,1.118476,64.457771,3.136920,6.536172,0.000000
1.544798,1.111069,64.030922,3.147737,6.537111,0.000000
1.554803,1.103562,63.598276,3.158712,6.538076,0.000000
1.564790,1.096007,63.162908,3.169766,6.539061,0.000000
1.574772,1.088396,62.724240,3.180915,6.540067,0.000000
1.584790,1.080695,62.280478,3.192205,6.541100,0.000000
1.594812,1.072931,61.833017,3.203600,6.542155,0.000000
1.604803,1.065131,61.383471,3.215060,6.543230,0.000000
1.614732,1.057319,60.933286,3.226547,6.544320,0.000000
1.624806,1.049333,60.473040,3.238303,6.545451,0.000000
1.634844,1.041315,60.010980,3.250118,6.546601,0.000000
1.644842,1.033269,59.547301,3.261986,6.547770,0.000000
1.654833,1.025171,59.080596,3.273944,6.548963,0.000000
1.664760,1.017066,58.613499,3.285924,6.550173,0.000000
1.674789,1.008818,58.138198,3.298126,6.551419,0.000000
1.684826,1.000506,57.659163,3.310438,6.552692,0.000000
1.694810,0.992180,57.179346,3.322783,6.553983,0.000000
1.704857,0.983743,56.693120,3.335305,6.555309,0.000000
1.714714,0.975409,56.212807,3.347688,6.556635,0.000000
1.724851,0.966780,55.715552,3.360522,6.558025,0.000000
1.734789,0.958265,55.224795,3.373201,6.559414,0.000000
1.744816,0.949616,54.726372,3.386092,6.560843,0.000000
1.754841,0.940912,54.224787,3.399079,6.562298,0.000000
1.764826,0.932188,53.721987,3.412111,6.563775,0.000000
1.774835,0.923387,53.214781,3.425272,6.565284,0.000000
1.784825,0.914547,52.705347,3.438504,6.566817,0.000000
1.794828,0.905641,52.192080,3.451851,6.568381,0.000000
1.804887,0.896630,51.672763,3.465370,6.569982,0.000000
1.814834,0.887665,51.156108,3.478834,6.571595,0.000000
1.824895,0.878543,50.630407,3.492550,6.573255,0.000000
1.834832,0.869481,50.108167,3.506190,6.574924,0.000000
1.844897,0.860248,49.576088,3.520102,6.576644,0.000000
1.854787,0.851123,49.050244,3.533867,6.578364,0.000000
1.864878,0.841760,48.510627,3.548009,6.580150,0.000000
1.874835,0.832470,47.975267,3.562055,6.581943,0.000000
1.884831,0.823092,47.434781,3.576251,6.583774,0.000000
1.894834,0.813655,46.890950,3.590551,6.585637,0.000000
1.904888,0.804119,46.341383,3.605019,6.587542,0.000000
1.914826,0.794643,45.795295,3.619412,6.589456,0.000000
1.924817,0.785067,45.243432,3.633974,6.591413,0.000000
1.934755,0.775492,44.691600,3.648552,6.593391,0.000000
1.944801,0.765764,44.130955,3.663380,6.595424,0.000000
1.954828,0.756004,43.568521,3.678273,6.597487,0.000000
1.964947,0.746106,42.998086,3.693396,6.599602,0.000000
1.974758,0.736462,42.442277,3.708148,6.601686,0.000000
1.984819,0.726523,41.869523,3.723368,6.603857,0.000000
1.994826,0.716591,41.297167,3.738596,6.606051,0.000000
2.004798,0.706648,40.724111,3.753861,6.608272,0.000000
2.014849,0.696578,40.143800,3.769337,6.610545,0.000000
2.024715,0.686649,39.571578,3.784617,6.612811,0.000000
2.034713,0.676542,38.989130,3.800188,6.615143,0.000000
2.044859,0.666239,38.395356,3.816082,6.617546,0.000000
