Time, Yaw, MyYaw, TransX, TransY, TransZ
0.000029,1.570796,90.524992,2.500000,5.508000,0.000000
1.404934,1.548250,89.225675,3.118177,5.530777,0.000000
1.415125,1.547792,89.199255,3.129885,5.532165,0.000000
1.425022,1.547342,89.173298,3.141369,5.533553,0.000000
1.435079,1.546879,89.146617,3.153154,5.535006,0.000000
1.444982,1.546418,89.120044,3.164873,5.536478,0.000000
1.455071,1.545942,89.092666,3.176928,5.538022,0.000000
1.465025,1.545469,89.065352,3.188936,5.539588,0.000000
1.475079,1.544985,89.037457,3.201180,5.541215,0.000000
1.485073,1.544498,89.009425,3.213466,5.542878,0.000000
1.495102,1.544005,88.980988,3.225910,5.544592,0.000000
1.505018,1.543512,88.952569,3.238328,5.546332,0.000000
1.515106,1.543005,88.923351,3.251076,5.548151,0.000000
1.525020,1.542501,88.894337,3.263715,5.549985,0.000000
1.535137,1.541982,88.864415,3.276731,5.551906,0.000000
1.544986,1.541471,88.834988,3.289513,5.553824,0.000000
1.555148,1.540939,88.804317,3.302816,5.555853,0.000000
1.565019,1.540417,88.774222,3.315851,5.557875,0.000000
1.575065,1.539880,88.743288,3.329229,5.559983,0.000000
1.585015,1.539343,88.712346,3.342593,5.562122,0.000000
1.594985,1.538800,88.681041,3.356094,5.564318,0.000000
1.605021,1.538248,88.649224,3.369797,5.566581,0.000000
1.615068,1.537690,88.617062,3.383630,5.568901,0.000000
1.625023,1.537132,88.584895,3.397445,5.571254,0.000000
1.635149,1.536558,88.551863,3.411614,5.573704,0.000000
1.645090,1.535991,88.519135,3.425633,5.576164,0.000000
1.655197,1.535408,88.485554,3.439999,5.578722,0.000000
1.665021,1.534836,88.452618,3.454070,5.581265,0.000000
1.675071,1.534246,88.418620,3.468577,5.583924,0.000000
1.685024,1.533657,88.384649,3.483053,5.586615,0.000000
1.695089,1.533056,88.349996,3.497802,5.589396,0.000000
1.705079,1.532454,88.315301,3.512550,5.592217,0.000000
1.715156,1.531841,88.279997,3.527538,5.595123,0.000000
1.725067,1.531233,88.244979,3.542387,5.598041,0.000000
1.735126,1.530612,88.209141,3.557565,5.601066,0.000000
1.745024,1.529994,88.173578,3.572610,5.604104,0.000000
1.755140,1.529359,88.136936,3.588092,5.607272,0.000000
1.765077,1.528729,88.100643,3.603410,5.610448,0.000000
1.775072,1.528090,88.063848,3.618921,5.613707,0.000000
1.785080,1.527446,88.026706,3.634562,5.617035,0.000000
1.795207,1.526789,87.988827,3.650494,5.620470,0.000000
1.805104,1.526141,87.951517,3.666171,5.623893,0.000000
1.815084,1.525483,87.913603,3.682084,5.627412,0.000000
1.825083,1.524819,87.875330,3.698132,5.631005,0.000000
1.835069,1.524151,87.836814,3.714264,5.634661,0.000000
1.845099,1.523475,87.797843,3.730570,5.638404,0.000000
1.855069,1.522797,87.758818,3.746882,5.642193,0.000000
1.865068,1.522113,87.719389,3.763347,5.646064,0.000000
1.875068,1.521424,87.679678,3.779914,5.650007,0.000000
1.885156,1.520724,87.639328,3.796732,5.654057,0.000000
1.895020,1.520035,87.599595,3.813277,5.658089,0.000000
1.905014,1.519331,87.559058,3.830141,5.662247,0.000000
1.915147,1.518613,87.517678,3.847341,5.666538,0.000000
1.925023,1.517908,87.477066,3.864206,5.670794,0.000000
1.934985,1.517193,87.435834,3.881315,5.675161,0.000000
1.944985,1.516470,87.394165,3.898590,5.679622,0.000000
