Time, Yaw, MyYaw, TransX, TransY, TransZ
0.000029,1.570796,90.524992,2.500000,5.508000,0.000000
1.404501,1.546041,89.098328,3.137831,5.727173,0.000000
1.414739,1.545544,89.069679,3.149985,5.731847,0.000000
1.424681,1.545055,89.041537,3.161908,5.736447,0.000000
1.434698,1.544558,89.012867,3.174038,5.741143,0.000000
1.444671,1.544057,88.984003,3.186236,5.745879,0.000000
1.454704,1.543548,88.954647,3.198624,5.750705,0.000000
1.464681,1.543035,88.925135,3.211062,5.755566,0.000000
1.474729,1.542514,88.895090,3.223709,5.760525,0.000000
1.484696,1.541991,88.864968,3.236371,5.765507,0.000000
1.494737,1.541459,88.834300,3.249246,5.770588,0.000000
1.504673,1.540927,88.803633,3.262104,5.775680,0.000000
1.514714,1.540384,88.772321,3.275216,5.780889,0.000000
1.524670,1.539840,88.740957,3.288333,5.786117,0.000000
1.534570,1.539293,88.709450,3.301492,5.791380,0.000000
1.544676,1.538729,88.676965,3.315043,5.796818,0.000000
1.554649,1.538167,88.644582,3.328534,5.802249,0.000000
1.564653,1.537598,88.611781,3.342182,5.807762,0.000000
1.574653,1.537024,88.578668,3.355942,5.813338,0.000000
1.584669,1.536443,88.545182,3.369840,5.818990,0.000000
1.594653,1.535858,88.511482,3.383809,5.824689,0.000000
1.604584,1.535270,88.477639,3.397820,5.830425,0.000000
1.614592,1.534673,88.443216,3.412052,5.836271,0.000000
1.624586,1.534071,88.408519,3.426381,5.842177,0.000000
1.634642,1.533460,88.373285,3.440913,5.848187,0.000000
1.644581,1.532850,88.338140,3.455390,5.854194,0.000000
1.654585,1.532230,88.302443,3.470077,5.860310,0.000000
1.664551,1.531608,88.266566,3.484819,5.866469,0.000000
1.674729,1.530966,88.229595,3.499992,5.872830,0.000000
1.684720,1.530331,88.192981,3.515001,5.879144,0.000000
1.694733,1.529689,88.155966,3.530155,5.885542,0.000000
1.704674,1.529046,88.118901,3.545311,5.891962,0.000000
1.714678,1.528393,88.081285,3.560674,5.898493,0.000000
1.724648,1.527737,88.043477,3.576096,5.905071,0.000000
1.734725,1.527068,88.004939,3.591797,5.911792,0.000000
1.744677,1.526402,87.966567,3.607412,5.918500,0.000000
1.754564,1.525735,87.928135,3.623034,5.925233,0.000000
1.764671,1.525048,87.888523,3.639115,5.932189,0.000000
1.774729,1.524359,87.848787,3.655228,5.939184,0.000000
1.784694,1.523670,87.809099,3.671302,5.946186,0.000000
1.794707,1.522973,87.768909,3.687560,5.953294,0.000000
1.804672,1.522273,87.728598,3.703848,5.960440,0.000000
1.814758,1.521560,87.687479,3.720443,5.967747,0.000000
1.824568,1.520860,87.647183,3.736688,5.974924,0.000000
1.834727,1.520131,87.605135,3.753619,5.982432,0.000000
1.844673,1.519411,87.563654,3.770302,5.989857,0.000000
1.854642,1.518684,87.521771,3.787128,5.997372,0.000000
1.864674,1.517948,87.479315,3.804165,6.005009,0.000000
1.874641,1.517210,87.436826,3.821196,6.012671,0.000000
1.884697,1.516461,87.393646,3.838484,6.020476,0.000000
1.894704,1.515710,87.350368,3.855791,6.028319,0.000000
1.904645,1.514959,87.307073,3.873087,6.036185,0.000000
1.914696,1.514194,87.262989,3.890678,6.044215,0.000000
1.924644,1.513432,87.219058,3.908188,6.052237,0.000000
1.934696,1.512656,87.174364,3.925983,6.060420,0.000000
1.944628,1.511885,87.129904,3.943665,6.068581,0.000000
1.954700,1.511097,87.084511,3.961699,6.076935,0.000000
1.964569,1.510320,87.039740,3.979467,6.085196,0.000000
1.974687,1.509518,86.993538,3.997782,6.093744,0.000000
1.984609,1.508727,86.947935,4.015841,6.102203,0.000000
