Time, Yaw, MyYaw, TransX, TransY, TransZ
0.000285,0.000000,0.000000,5.500000,2.508000,0.000000
1.411783,0.000089,0.005114,6.171622,2.508017,0.000000
1.421767,0.000090,0.005199,6.184365,2.508018,0.000000
1.432230,0.000092,0.005288,6.197867,2.508018,0.000000
1.442115,0.000093,0.005372,6.210763,2.508018,0.000000
1.451935,0.000095,0.005457,6.223706,2.508019,0.000000
1.461861,0.000096,0.005543,6.236923,2.508019,0.000000
1.471938,0.000098,0.005631,6.250481,2.508019,0.000000
1.481830,0.000099,0.005717,6.263926,2.508020,0.000000
1.491916,0.000101,0.005806,6.277775,2.508020,0.000000
1.502258,0.000102,0.005898,6.292120,2.508020,0.000000
1.512134,0.000104,0.005986,6.305956,2.508020,0.000000
1.521873,0.000105,0.006073,6.319732,2.508021,0.000000
1.531986,0.000107,0.006165,6.334176,2.508021,0.000000
1.541878,0.000109,0.006254,6.348442,2.508021,0.000000
1.552429,0.000110,0.006350,6.363807,2.508022,0.000000
1.561960,0.000112,0.006438,6.377819,2.508022,0.000000
1.571989,0.000113,0.006530,6.392697,2.508022,0.000000
1.583392,0.000115,0.006636,6.409784,2.508023,0.000000
1.591748,0.000116,0.006713,6.422420,2.508023,0.000000
1.602080,0.000118,0.006810,6.438176,2.508023,0.000000
1.611844,0.000120,0.006901,6.453201,2.508024,0.000000
1.622186,0.000121,0.006998,6.469260,2.508024,0.000000
1.631788,0.000123,0.007089,6.484301,2.508024,0.000000
1.641866,0.000125,0.007185,6.500227,2.508025,0.000000
1.651929,0.000126,0.007281,6.516266,2.508025,0.000000
1.661972,0.000128,0.007377,6.532414,2.508025,0.000000
1.672185,0.000130,0.007475,6.548977,2.508025,0.000000
1.682432,0.000131,0.007574,6.565741,2.508026,0.000000
1.691922,0.000133,0.007666,6.581393,2.508026,0.000000
1.702020,0.000135,0.007764,6.598186,2.508026,0.000000
1.711946,0.000136,0.007860,6.614829,2.508027,0.000000
1.722000,0.000138,0.007959,6.631823,2.508027,0.000000
1.732928,0.000140,0.008066,6.650451,2.508028,0.000000
1.741966,0.000142,0.008155,6.665983,2.508028,0.000000
1.752013,0.000143,0.008254,6.683378,2.508028,0.000000
1.761989,0.000145,0.008353,6.700788,2.508028,0.000000
1.771896,0.000147,0.008451,6.718210,2.508029,0.000000
1.782365,0.000148,0.008555,6.736767,2.508029,0.000000
1.792469,0.000150,0.008656,6.754819,2.508030,0.000000
1.801955,0.000152,0.008751,6.771891,2.508030,0.000000
1.812331,0.000154,0.008855,6.790706,2.508030,0.000000
1.821830,0.000155,0.008950,6.808059,2.508031,0.000000
1.831924,0.000157,0.009051,6.826631,2.508031,0.000000
1.841933,0.000159,0.009152,6.845184,2.508031,0.000000
1.851966,0.000161,0.009254,6.863915,2.508032,0.000000
1.861768,0.000162,0.009353,6.882346,2.508032,0.000000
1.871772,0.000164,0.009455,6.901291,2.508032,0.000000
1.881915,0.000166,0.009558,6.920634,2.508033,0.000000
1.892035,0.000168,0.009661,6.940071,2.508033,0.000000
1.901998,0.000169,0.009762,6.959340,2.508033,0.000000
1.911972,0.000171,0.009864,6.978763,2.508034,0.000000
1.921937,0.000173,0.009966,6.998301,2.508034,0.000000
1.931983,0.000175,0.010068,7.018130,2.508034,0.000000
1.941807,0.000176,0.010169,7.037649,2.508035,0.000000
1.951891,0.000178,0.010272,7.057818,2.508035,0.000000
1.961814,0.000180,0.010374,7.077796,2.508035,0.000000
1.971997,0.000182,0.010479,7.098431,2.508036,0.000000
1.981876,0.000184,0.010580,7.118579,2.508036,0.000000
1.992074,0.000185,0.010685,7.139513,2.508036,0.000000
2.003406,0.000187,0.010802,7.162931,2.508037,0.000000
2.012145,0.000189,0.010892,7.181107,2.508037,0.000000
2.022094,0.000191,0.010994,7.201919,2.508037,0.000000
2.031838,0.000193,0.011094,7.222424,2.508038,0.000000
2.043810,0.000195,0.011218,7.247785,2.508038,0.000000
2.051839,0.000196,0.011300,7.264898,2.508039,0.000000
2.061772,0.000198,0.011403,7.286181,2.508039,0.000000
2.072905,0.000200,0.011517,7.310186,2.508039,0.000000
2.081754,0.000201,0.011608,7.329380,2.508040,0.000000
2.091930,0.000203,0.011713,7.351571,2.508040,0.000000
2.101761,0.000205,0.011814,7.373136,2.508040,0.000000
2.112968,0.000207,0.011929,7.397868,2.508041,0.000000
2.121797,0.000209,0.012020,7.417462,2.508041,0.000000
2.131744,0.000210,0.012122,7.439655,2.508041,0.000000
2.141774,0.000212,0.012225,7.462158,2.508042,0.000000
2.151849,0.000214,0.012328,7.484885,2.508042,0.000000
2.161774,0.000216,0.012430,7.507399,2.508042,0.000000
2.171906,0.000217,0.012533,7.530507,2.508043,0.000000
2.181862,0.000219,0.012635,7.553336,2.508043,0.000000
2.191819,0.000221,0.012737,7.576288,2.508043,0.000000
2.201815,0.000223,0.012838,7.599451,2.508044,0.000000
2.211965,0.000225,0.012942,7.623096,2.508044,0.000000
2.221711,0.000226,0.013040,7.645915,2.508044,0.000000
2.231993,0.000228,0.013145,7.670113,2.508045,0.000000
2.242121,0.000230,0.013247,7.694073,2.508045,0.000000
2.251997,0.000232,0.013347,7.717554,2.508046,0.000000
2.262330,0.000233,0.013451,7.742245,2.508046,0.000000
2.271931,0.000235,0.013548,7.765300,2.508046,0.000000
2.281788,0.000237,0.013646,7.789082,2.508047,0.000000
2.291850,0.000239,0.013747,7.813476,2.508047,0.000000
2.301938,0.000240,0.013848,7.838051,2.508047,0.000000
2.311795,0.000242,0.013946,7.862180,2.508048,0.000000
2.321822,0.000244,0.014046,7.886835,2.508048,0.000000
2.331809,0.000245,0.014145,7.911509,2.508048,0.000000
2.341852,0.000247,0.014244,7.936438,2.508049,0.000000
2.351694,0.000249,0.014341,7.960976,2.508049,0.000000
2.361825,0.000251,0.014441,7.986350,2.508049,0.000000
2.371790,0.000252,0.014538,8.011419,2.508050,0.000000
2.381884,0.000254,0.014637,8.036928,2.508050,0.000000
2.391747,0.000256,0.014733,8.061961,2.508050,0.000000
2.401742,0.000257,0.014830,8.087441,2.508051,0.000000
2.411891,0.000259,0.014928,8.113423,2.508051,0.000000
2.421888,0.000261,0.015024,8.139127,2.508051,0.000000
2.431790,0.000262,0.015119,8.164694,2.508052,0.000000
2.441733,0.000264,0.015214,8.190471,2.508052,0.000000
2.451903,0.000266,0.015311,8.216949,2.508052,0.000000
2.461740,0.000267,0.015404,8.242664,2.508053,0.000000
2.471763,0.000269,0.015498,8.268974,2.508053,0.000000
2.481923,0.000271,0.015594,8.295748,2.508053,0.000000
2.491920,0.000272,0.015688,8.322199,2.508054,0.000000
2.502106,0.000274,0.015782,8.349256,2.508054,0.000000
2.511767,0.000275,0.015872,8.375018,2.508054,0.000000
2.521947,0.000277,0.015966,8.402270,2.508054,0.000000
2.531775,0.000279,0.016056,8.428676,2.508055,0.000000
2.541914,0.000280,0.016149,8.456023,2.508055,0.000000
2.551816,0.000282,0.016239,8.482831,2.508055,0.000000
2.561860,0.000283,0.016330,8.510121,2.508056,0.000000
2.571943,0.000285,0.016421,8.537619,2.508056,0.000000
2.581963,0.000286,0.016510,8.565046,2.508056,0.000000
2.591768,0.000288,0.016597,8.591979,2.508057,0.000000
2.601712,0.000290,0.016686,8.619387,2.508057,0.000000
2.611757,0.000291,0.016774,8.647171,2.508057,0.000000
2.621743,0.000293,0.016861,8.674890,2.508058,0.000000
2.631796,0.000294,0.016949,8.702889,2.508058,0.000000
2.641782,0.000296,0.017035,8.730795,2.508058,0.000000
2.652095,0.000297,0.017124,8.759714,2.508058,0.000000
2.663855,0.000299,0.017224,8.792809,2.508059,0.000000
2.672436,0.000300,0.017297,8.817037,2.508059,0.000000
2.681752,0.000301,0.017375,8.843419,2.508059,0.000000
2.692096,0.000303,0.017462,8.872803,2.508060,0.000000
2.701734,0.000304,0.017542,8.900268,2.508060,0.000000
2.711782,0.000306,0.017625,8.928988,2.508060,0.000000
2.721754,0.000307,0.017706,8.957581,2.508060,0.000000
2.731971,0.000309,0.017789,8.986965,2.508061,0.000000
2.741898,0.000310,0.017870,9.015602,2.508061,0.000000
2.751826,0.000311,0.017949,9.044328,2.508061,0.000000
2.761810,0.000313,0.018028,9.073298,2.508061,0.000000
2.774465,0.000315,0.018128,9.110141,2.508062,0.000000
2.782167,0.000316,0.018188,9.132630,2.508062,0.000000
2.791767,0.000317,0.018263,9.160730,2.508062,0.000000
2.801854,0.000318,0.018340,9.190334,2.508063,0.000000
2.811780,0.000320,0.018416,9.219548,2.508063,0.000000
2.821769,0.000321,0.018492,9.249028,2.508063,0.000000
2.831743,0.000322,0.018567,9.278539,2.508063,0.000000
2.841764,0.000323,0.018641,9.308271,2.508064,0.000000
2.851714,0.000325,0.018714,9.337870,2.508064,0.000000
2.862103,0.000326,0.018790,9.368855,2.508064,0.000000
2.871747,0.000327,0.018860,9.397690,2.508064,0.000000
2.881968,0.000329,0.018933,9.428330,2.508065,0.000000
2.891755,0.000330,0.019003,9.457741,2.508065,0.000000
2.901752,0.000331,0.019073,9.487854,2.508065,0.000000
2.911749,0.000332,0.019142,9.518043,2.508065,0.000000
2.922229,0.000333,0.019214,9.549766,2.508066,0.000000
2.931928,0.000335,0.019280,9.579194,2.508066,0.000000
2.941757,0.000336,0.019347,9.609085,2.508066,0.000000
2.951800,0.000337,0.019413,9.639696,2.508066,0.000000
2.962300,0.000338,0.019483,9.671774,2.508066,0.000000
2.971759,0.000339,0.019544,9.700736,2.508067,0.000000
2.981718,0.000340,0.019608,9.731291,2.508067,0.000000
2.991770,0.000341,0.019672,9.762198,2.508067,0.000000
3.001886,0.000342,0.019736,9.793372,2.508067,0.000000
3.011803,0.000344,0.019798,9.823995,2.508068,0.000000
3.022140,0.000345,0.019861,9.855980,2.508068,0.000000
3.032021,0.000346,0.019921,9.886617,2.508068,0.000000
3.041810,0.000347,0.019979,9.917026,2.508068,0.000000
3.051825,0.000348,0.020038,9.948199,2.508068,0.000000
3.061733,0.000349,0.020096,9.979101,2.508069,0.000000
3.071776,0.000350,0.020154,10.010480,2.508069,0.000000
3.081707,0.000351,0.020210,10.041567,2.508069,0.000000
3.091848,0.000352,0.020267,10.073367,2.508069,0.000000
3.101764,0.000353,0.020321,10.104521,2.508069,0.000000
3.111864,0.000354,0.020376,10.136309,2.508070,0.000000
3.121851,0.000354,0.020430,10.167795,2.508070,0.000000
3.131834,0.000355,0.020482,10.199322,2.508070,0.000000
3.141673,0.000356,0.020533,10.230445,2.508070,0.000000
3.151682,0.000357,0.020584,10.262156,2.508070,0.000000
3.162547,0.000358,0.020639,10.296639,2.508070,0.000000
3.171819,0.000359,0.020684,10.326112,2.508071,0.000000
3.181776,0.000360,0.020733,10.357810,2.508071,0.000000
3.191830,0.000361,0.020781,10.389865,2.508071,0.000000
3.202193,0.000361,0.020829,10.422953,2.508071,0.000000
3.211775,0.000362,0.020873,10.453593,2.508071,0.000000
3.222304,0.000363,0.020921,10.487310,2.508071,0.000000
3.231776,0.000364,0.020963,10.517683,2.508072,0.000000
3.242524,0.000365,0.021009,10.552196,2.508072,0.000000
3.251943,0.000365,0.021049,10.582481,2.508072,0.000000
3.261752,0.000366,0.021090,10.614060,2.508072,0.000000
3.271832,0.000367,0.021131,10.646548,2.508072,0.000000
3.284999,0.000368,0.021184,10.689052,2.508072,0.000000
3.291744,0.000368,0.021210,10.710853,2.508072,0.000000
3.301772,0.000369,0.021248,10.743293,2.508072,0.000000
3.311736,0.000369,0.021285,10.775563,2.508073,0.000000
3.321773,0.000370,0.021322,10.808104,2.508073,0.000000
3.331774,0.000371,0.021358,10.840565,2.508073,0.000000
3.341713,0.000371,0.021392,10.872860,2.508073,0.000000
3.351931,0.000372,0.021426,10.906091,2.508073,0.000000
3.362425,0.000372,0.021461,10.940258,2.508073,0.000000
3.371795,0.000373,0.021491,10.970795,2.508073,0.000000
3.381784,0.000373,0.021522,11.003378,2.508073,0.000000
3.391719,0.000374,0.021552,11.035814,2.508074,0.000000
3.401803,0.000374,0.021581,11.068763,2.508074,0.000000
3.411728,0.000375,0.021610,11.101223,2.508074,0.000000
3.421835,0.000375,0.021637,11.134304,2.508074,0.000000
3.432029,0.000376,0.021664,11.167693,2.508074,0.000000
3.441991,0.000376,0.021690,11.200349,2.508074,0.000000
3.451854,0.000377,0.021714,11.232705,2.508074,0.000000
3.461791,0.000377,0.021738,11.265325,2.508074,0.000000
3.471684,0.000378,0.021760,11.297822,2.508074,0.000000
3.481756,0.000378,0.021783,11.330924,2.508074,0.000000
3.491835,0.000378,0.021804,11.364074,2.508074,0.000000
3.501877,0.000379,0.021824,11.397117,2.508074,0.000000
3.511781,0.000379,0.021843,11.429727,2.508075,0.000000
3.521790,0.000379,0.021861,11.462698,2.508075,0.000000
3.531795,0.000380,0.021878,11.495670,2.508075,0.000000
3.541749,0.000380,0.021895,11.528492,2.508075,0.000000
3.551977,0.000380,0.021911,11.562231,2.508075,0.000000
3.561920,0.000380,0.021925,11.595041,2.508075,0.000000
3.571839,0.000381,0.021938,11.627784,2.508075,0.000000
3.582398,0.000381,0.021952,11.662651,2.508075,0.000000
3.593443,0.000381,0.021965,11.699138,2.508075,0.000000
3.601927,0.000381,0.021974,11.727170,2.508075,0.000000
3.611799,0.000381,0.021983,11.759796,2.508075,0.000000
3.622508,0.000382,0.021993,11.795196,2.508075,0.000000
3.632027,0.000382,0.022000,11.826667,2.508075,0.000000
3.641789,0.000382,0.022007,11.858947,2.508075,0.000000
3.651824,0.000382,0.022013,11.892133,2.508075,0.000000
3.662228,0.000382,0.022018,11.926546,2.508075,0.000000
3.671842,0.000382,0.022022,11.958345,2.508075,0.000000
3.681779,0.000382,0.022025,11.991214,2.508075,0.000000
3.691813,0.000382,0.022028,12.024403,2.508075,0.000000
3.701788,0.000382,0.022029,12.057399,2.508075,0.000000
3.715208,0.000382,0.022029,12.101786,2.508075,0.000000
3.721953,0.000382,0.022029,12.124094,2.508075,0.000000
3.732806,0.000382,0.022027,12.159983,2.508075,0.000000
3.741890,0.000382,0.022024,12.190020,2.508075,0.000000
3.751870,0.000382,0.022021,12.223012,2.508075,0.000000
3.761763,0.000382,0.022017,12.255713,2.508075,0.000000
3.771759,0.000382,0.022011,12.288744,2.508075,0.000000
3.781900,0.000382,0.022005,12.322247,2.508075,0.000000
3.791868,0.000382,0.021997,12.355170,2.508075,0.000000
3.801711,0.000382,0.021989,12.387667,2.508075,0.000000
3.811755,0.000381,0.021980,12.420818,2.508075,0.000000
3.821812,0.000381,0.021970,12.453997,2.508075,0.000000
3.831775,0.000381,0.021959,12.486857,2.508075,0.000000
3.841786,0.000381,0.021947,12.519856,2.508075,0.000000
3.851835,0.000381,0.021934,12.552969,2.508075,0.000000
3.861968,0.000380,0.021919,12.586339,2.508075,0.000000
3.871925,0.000380,0.021905,12.619113,2.508075,0.000000
3.881732,0.000380,0.021889,12.651379,2.508075,0.000000
3.891796,0.000380,0.021872,12.684466,2.508075,0.000000
3.901779,0.000379,0.021854,12.717269,2.508075,0.000000
