Time, Yaw, MyYaw, TransX, TransY, TransZ
0.000039,-0.000000,-0.000000,11.500000,3.508000,0.000000
1.411556,0.001375,0.079225,11.616418,4.184149,0.000000
1.421830,0.001434,0.082640,11.618077,4.197653,0.000000
1.432230,0.001496,0.086190,11.619757,4.211484,0.000000
1.441812,0.001554,0.089545,11.621304,4.224373,0.000000
1.452001,0.001617,0.093201,11.622949,4.238229,0.000000
1.462051,0.001681,0.096899,11.624570,4.252051,0.000000
1.472255,0.001748,0.100747,11.626214,4.266240,0.000000
1.481986,0.001813,0.104506,11.627780,4.279919,0.000000
1.492539,0.001886,0.108683,11.629476,4.294917,0.000000
1.502034,0.001953,0.112531,11.630999,4.308556,0.000000
1.512388,0.002027,0.116825,11.632657,4.323585,0.000000
1.521959,0.002098,0.120887,11.634186,4.337625,0.000000
1.532008,0.002173,0.125248,11.635787,4.352516,0.000000
1.541898,0.002249,0.129638,11.637359,4.367324,0.000000
1.551818,0.002328,0.134140,11.638930,4.382327,0.000000
1.562328,0.002412,0.139019,11.640590,4.398388,0.000000
1.572251,0.002494,0.143730,11.642150,4.413709,0.000000
1.581774,0.002574,0.148347,11.643642,4.428556,0.000000
1.591854,0.002661,0.153338,11.645214,4.444422,0.000000
1.602180,0.002751,0.158563,11.646817,4.460841,0.000000
1.611827,0.002838,0.163547,11.648308,4.476329,0.000000
1.622043,0.002931,0.168937,11.649878,4.492890,0.000000
1.631933,0.003024,0.174263,11.651389,4.509074,0.000000
1.641879,0.003119,0.179728,11.652900,4.525506,0.000000
1.652068,0.003218,0.185443,11.654438,4.542499,0.000000
1.661821,0.003315,0.191023,11.655901,4.558917,0.000000
1.672001,0.003418,0.196964,11.657417,4.576212,0.000000
1.682089,0.003522,0.202969,11.658908,4.593510,0.000000
1.692228,0.003629,0.209125,11.660395,4.611059,0.000000
1.701758,0.003731,0.215022,11.661782,4.627699,0.000000
1.711603,0.003839,0.221227,11.663202,4.645038,0.000000
1.721939,0.003954,0.227867,11.664680,4.663408,0.000000
1.731806,0.004066,0.234326,11.666078,4.681100,0.000000
1.741665,0.004180,0.240900,11.667461,4.698930,0.000000
1.751696,0.004298,0.247712,11.668854,4.717228,0.000000
1.761672,0.004418,0.254611,11.670224,4.735586,0.000000
1.773852,0.004567,0.263205,11.671876,4.758209,0.000000
1.781743,0.004666,0.268873,11.672934,4.772992,0.000000
1.791800,0.004793,0.276213,11.674268,4.791974,0.000000
1.801720,0.004921,0.283581,11.675566,4.810854,0.000000
1.811892,0.005054,0.291270,11.676880,4.830376,0.000000
1.821735,0.005185,0.298840,11.678134,4.849422,0.000000
1.831719,0.005321,0.306649,11.679387,4.868897,0.000000
1.841685,0.005459,0.314579,11.680620,4.888495,0.000000
1.851812,0.005601,0.322773,11.681853,4.908570,0.000000
1.862267,0.005750,0.331379,11.683104,4.929466,0.000000
1.871634,0.005886,0.339217,11.684206,4.948334,0.000000
1.881826,0.006036,0.347883,11.685384,4.969022,0.000000
1.891693,0.006184,0.356411,11.686503,4.989207,0.000000
1.901610,0.006336,0.365120,11.687606,5.009650,0.000000
1.911959,0.006496,0.374357,11.688734,5.031148,0.000000
1.921691,0.006649,0.383182,11.689772,5.051521,0.000000
1.931692,0.006809,0.392393,11.690815,5.072612,0.000000
1.941707,0.006971,0.401762,11.691836,5.093891,0.000000
1.951732,0.007137,0.411287,11.692833,5.115351,0.000000
1.961697,0.007304,0.420901,11.693798,5.136841,0.000000
1.971842,0.007476,0.430840,11.694755,5.158880,0.000000
1.981797,0.007648,0.440742,11.695668,5.180665,0.000000
1.992577,0.007837,0.451631,11.696627,5.204430,0.000000
2.001970,0.008004,0.461263,11.697436,5.225290,0.000000
2.011959,0.008184,0.471653,11.698269,5.247624,0.000000
2.021873,0.008366,0.482115,11.699069,5.269946,0.000000
2.032336,0.008560,0.493322,11.699881,5.293675,0.000000
2.041750,0.008738,0.503549,11.700585,5.315170,0.000000
2.053248,0.008958,0.516230,11.701408,5.341616,0.000000
2.061754,0.009123,0.525743,11.701991,5.361312,0.000000
2.071708,0.009318,0.537021,11.702645,5.384507,0.000000
2.081746,0.009519,0.548554,11.703272,5.408057,0.000000
2.092004,0.009726,0.560506,11.703879,5.432284,0.000000
2.101850,0.009928,0.572137,11.704430,5.455696,0.000000
2.111847,0.010135,0.584106,11.704956,5.479621,0.000000
2.121781,0.010345,0.596163,11.705445,5.503553,0.000000
2.131673,0.010556,0.608327,11.705898,5.527535,0.000000
2.141777,0.010774,0.620918,11.706326,5.552190,0.000000
2.151787,0.010994,0.633559,11.706714,5.576774,0.000000
2.161777,0.011215,0.646340,11.707065,5.601463,0.000000
2.171724,0.011439,0.659233,11.707379,5.626204,0.000000
2.181734,0.011667,0.672374,11.707657,5.651255,0.000000
2.191594,0.011895,0.685485,11.707894,5.676085,0.000000
2.201646,0.012129,0.699019,11.708098,5.701551,0.000000
2.211670,0.012367,0.712689,11.708261,5.727106,0.000000
2.221714,0.012607,0.726558,11.708386,5.752868,0.000000
2.231596,0.012847,0.740372,11.708469,5.778365,0.000000
2.241734,0.013096,0.754719,11.708513,5.804680,0.000000
2.251833,0.013347,0.769190,11.708515,5.831054,0.000000
2.261652,0.013594,0.783431,11.708477,5.856848,0.000000
2.271833,0.013853,0.798374,11.708394,5.883749,0.000000
2.281703,0.014108,0.813034,11.708271,5.909978,0.000000
2.291638,0.014367,0.827966,11.708105,5.936534,0.000000
2.301721,0.014633,0.843300,11.707892,5.963641,0.000000
2.311703,0.014900,0.858658,11.707637,5.990629,0.000000
2.321796,0.015172,0.874368,11.707334,6.018072,0.000000
2.331637,0.015441,0.889863,11.706994,6.044980,0.000000
2.341621,0.015717,0.905762,11.706603,6.072430,0.000000
2.351811,0.016002,0.922174,11.706156,6.100603,0.000000
2.361795,0.016284,0.938438,11.705671,6.128360,0.000000
2.371916,0.016573,0.955112,11.705131,6.156653,0.000000
2.381738,0.016857,0.971471,11.704559,6.184257,0.000000
