Time, Yaw, MyYaw, TransX, TransY, TransZ
0.000034,1.570796,90.524992,6.500000,5.508000,0.000000
1.205226,1.588568,91.549183,6.839221,5.745838,0.000000
1.215400,1.588977,91.572755,6.846671,5.751566,0.000000
1.225344,1.589382,91.596096,6.854037,5.757248,0.000000
1.235446,1.589799,91.620115,6.861605,5.763103,0.000000
1.245385,1.590214,91.644048,6.869134,5.768947,0.000000
1.255330,1.590635,91.668297,6.876751,5.774877,0.000000
1.265388,1.591066,91.693129,6.884538,5.780960,0.000000
1.275450,1.591502,91.718277,6.892412,5.787129,0.000000
1.285299,1.591935,91.743194,6.900201,5.793252,0.000000
1.295385,1.592383,91.769017,6.908261,5.799608,0.000000
1.305411,1.592834,91.794995,6.916356,5.806012,0.000000
1.315454,1.593290,91.821327,6.924548,5.812514,0.000000
1.325314,1.593744,91.847480,6.932671,5.818982,0.000000
1.335348,1.594211,91.874401,6.941020,5.825651,0.000000
1.345385,1.594684,91.901640,6.949453,5.832410,0.000000
1.355320,1.595157,91.928907,6.957881,5.839187,0.000000
1.365398,1.595643,91.956878,6.966513,5.846150,0.000000
1.375383,1.596129,91.984898,6.975145,5.853137,0.000000
1.385390,1.596621,92.013289,6.983878,5.860229,0.000000
1.395453,1.597122,92.042151,6.992740,5.867450,0.000000
1.405386,1.597622,92.070945,7.001568,5.874667,0.000000
1.415414,1.598132,92.100323,7.010559,5.882042,0.000000
1.425407,1.598645,92.129907,7.019598,5.889482,0.000000
1.435414,1.599164,92.159841,7.028728,5.897022,0.000000
1.445386,1.599687,92.189979,7.037906,5.904627,0.000000
1.455331,1.600214,92.220338,7.047135,5.912300,0.000000
1.465319,1.600749,92.251139,7.056482,5.920099,0.000000
1.475318,1.601289,92.282281,7.065917,5.927998,0.000000
1.485389,1.601839,92.313956,7.075497,5.936046,0.000000
1.495450,1.602393,92.345915,7.085146,5.944180,0.000000
1.505388,1.602946,92.377788,7.094753,5.952307,0.000000
1.515414,1.603509,92.410250,7.104520,5.960598,0.000000
1.525376,1.604074,92.442813,7.114300,5.968930,0.000000
1.535383,1.604647,92.475831,7.124200,5.977394,0.000000
1.545380,1.605225,92.509121,7.134164,5.985942,0.000000
1.555385,1.605808,92.542742,7.144209,5.994591,0.000000
1.565419,1.606399,92.576773,7.154359,6.003361,0.000000
1.575321,1.606987,92.610655,7.164446,6.012109,0.000000
1.585382,1.607590,92.645391,7.174769,6.021093,0.000000
1.595385,1.608194,92.680231,7.185105,6.030121,0.000000
1.605318,1.608800,92.715129,7.195439,6.039180,0.000000
1.615458,1.609423,92.751065,7.206061,6.048526,0.000000
1.625388,1.610039,92.786560,7.216534,6.057774,0.000000
1.635449,1.610669,92.822827,7.227216,6.067241,0.000000
1.645385,1.611295,92.858943,7.237833,6.076687,0.000000
1.655408,1.611933,92.895681,7.248613,6.086312,0.000000
1.665378,1.612572,92.932520,7.259403,6.095983,0.000000
1.675410,1.613220,92.969894,7.270330,6.105813,0.000000
1.685392,1.613871,93.007381,7.281269,6.115691,0.000000
1.695391,1.614528,93.045235,7.292295,6.125684,0.000000
1.705345,1.615187,93.083212,7.303336,6.135730,0.000000
1.715385,1.615857,93.121815,7.314538,6.145960,0.000000
1.725388,1.616529,93.160577,7.325764,6.156253,0.000000
1.735398,1.617207,93.199663,7.337063,6.166652,0.000000
1.745398,1.617890,93.239005,7.348415,6.177139,0.000000
1.755403,1.618578,93.278663,7.359836,6.187732,0.000000
1.765343,1.619267,93.318356,7.371244,6.198354,0.000000
1.775444,1.619972,93.358990,7.382901,6.209250,0.000000
1.785375,1.620670,93.399229,7.394422,6.220062,0.000000
1.795389,1.621379,93.440099,7.406101,6.231065,0.000000
1.805320,1.622088,93.480916,7.417742,6.242075,0.000000
1.815454,1.622816,93.522864,7.429682,6.253414,0.000000
1.825390,1.623534,93.564280,7.441447,6.264632,0.000000
1.835444,1.624266,93.606478,7.453411,6.276084,0.000000
1.845379,1.624995,93.648457,7.465289,6.287501,0.000000
1.855391,1.625734,93.691054,7.477317,6.299109,0.000000
1.865411,1.626479,93.733966,7.489410,6.310827,0.000000
1.875419,1.627227,93.777113,7.501545,6.322634,0.000000
1.885397,1.627979,93.820412,7.513698,6.334507,0.000000
1.895488,1.628744,93.864488,7.526044,6.346619,0.000000
1.905426,1.629502,93.908174,7.538256,6.358649,0.000000
1.915433,1.630270,93.952443,7.550605,6.370865,0.000000
1.925391,1.631039,93.996772,7.562945,6.383123,0.000000
1.935451,1.631821,94.041831,7.575463,6.395610,0.000000
1.945396,1.632598,94.086649,7.587888,6.408057,0.000000
1.955332,1.633380,94.131699,7.600351,6.420595,0.000000
1.965390,1.634176,94.177581,7.613017,6.433392,0.000000
1.975414,1.634974,94.223576,7.625688,6.446249,0.000000
1.985387,1.635773,94.269606,7.638341,6.459144,0.000000
1.995451,1.636584,94.316333,7.651159,6.472262,0.000000
2.005385,1.637389,94.362720,7.663856,6.485314,0.000000
2.015447,1.638209,94.409969,7.676761,6.498638,0.000000
2.025386,1.639023,94.456905,7.689553,6.511904,0.000000
2.035444,1.639852,94.504671,7.702543,6.525434,0.000000
2.045384,1.640676,94.552137,7.715423,6.538909,0.000000
2.055351,1.641506,94.599985,7.728379,6.552523,0.000000
2.065394,1.642347,94.648465,7.741476,6.566348,0.000000
2.075381,1.643188,94.696926,7.754540,6.580200,0.000000
2.085456,1.644041,94.746080,7.767760,6.594282,0.000000
2.095400,1.644887,94.794841,7.780846,6.608284,0.000000
2.105390,1.645742,94.844085,7.794031,6.622457,0.000000
2.115462,1.646607,94.893983,7.807361,6.636852,0.000000
2.125405,1.647466,94.943488,7.820557,6.651167,0.000000
2.135402,1.648334,94.993515,7.833860,6.665667,0.000000
2.145359,1.649203,95.043583,7.847145,6.680212,0.000000
2.155318,1.650076,95.093905,7.860466,6.694867,0.000000
2.165391,1.650964,95.145047,7.873973,6.709796,0.000000
