Time, Yaw, MyYaw, TransX, TransY, TransZ
0.000031,1.570796,90.524992,5.500000,6.508000,0.000000
1.405458,1.349322,77.761419,5.841048,6.902622,0.000000
1.415635,1.346341,77.589630,5.848308,6.910106,0.000000
1.425684,1.343400,77.420158,5.855571,6.917574,0.000000
1.435616,1.340498,77.252882,5.862842,6.925029,0.000000
1.445637,1.337574,77.084363,5.870272,6.932627,0.000000
1.455618,1.334666,76.916798,5.877767,6.940270,0.000000
1.465672,1.331743,76.748333,5.885412,6.948046,0.000000
1.475621,1.328856,76.581999,5.893072,6.955816,0.000000
1.485620,1.325963,76.415243,5.900865,6.963701,0.000000
1.495692,1.323056,76.247740,5.908811,6.971719,0.000000
1.505629,1.320197,76.082948,5.916747,6.979707,0.000000
1.515637,1.317327,75.917535,5.924836,6.987826,0.000000
1.525625,1.314472,75.753013,5.933005,6.996006,0.000000
1.535593,1.311633,75.589434,5.941254,7.004245,0.000000
1.545583,1.308800,75.426159,5.949618,7.012577,0.000000
1.555614,1.305967,75.262907,5.958115,7.021020,0.000000
1.565698,1.303133,75.099548,5.966755,7.029584,0.000000
1.575614,1.300359,74.939679,5.975350,7.038081,0.000000
1.585699,1.297552,74.777930,5.984189,7.046799,0.000000
1.595620,1.294806,74.619658,5.992983,7.055451,0.000000
1.605555,1.292071,74.462049,6.001888,7.064190,0.000000
1.615618,1.289317,74.303364,6.011006,7.073118,0.000000
1.625629,1.286596,74.146505,6.020177,7.082075,0.000000
1.635682,1.283880,73.990003,6.029489,7.091147,0.000000
1.645515,1.281242,73.837985,6.038693,7.100094,0.000000
1.655562,1.278566,73.683753,6.048198,7.109312,0.000000
1.665642,1.275901,73.530187,6.057837,7.118637,0.000000
1.675686,1.273267,73.378375,6.067542,7.128005,0.000000
1.685624,1.270682,73.229393,6.077245,7.137348,0.000000
1.695622,1.268103,73.080774,6.087107,7.146824,0.000000
1.705637,1.265543,72.933218,6.097088,7.156391,0.000000
1.715596,1.263020,72.787825,6.107114,7.165980,0.000000
1.725723,1.260479,72.641400,6.117412,7.175808,0.000000
1.735594,1.258027,72.500081,6.127551,7.185462,0.000000
1.745604,1.255566,72.358247,6.137933,7.195326,0.000000
1.755594,1.253136,72.218203,6.148396,7.205246,0.000000
1.765590,1.250731,72.079620,6.158969,7.215247,0.000000
1.775594,1.248352,71.942519,6.169652,7.225331,0.000000
1.785652,1.245988,71.806316,6.180496,7.235546,0.000000
1.795585,1.243683,71.673471,6.191307,7.245708,0.000000
1.805603,1.241388,71.541195,6.202312,7.256032,0.000000
1.815585,1.239131,71.411127,6.213382,7.266394,0.000000
1.825581,1.236902,71.282668,6.224569,7.276844,0.000000
1.835666,1.234685,71.154894,6.235960,7.287464,0.000000
1.845620,1.232529,71.030639,6.247306,7.298021,0.000000
1.855591,1.230402,70.908060,6.258774,7.308669,0.000000
1.865597,1.228301,70.786990,6.270384,7.319429,0.000000
1.875615,1.226232,70.667740,6.282113,7.330277,0.000000
1.885599,1.224204,70.550892,6.293905,7.341164,0.000000
1.895614,1.222206,70.435736,6.305837,7.352158,0.000000
1.905683,1.220234,70.322068,6.317936,7.363286,0.000000
1.915591,1.218329,70.212305,6.329945,7.374310,0.000000
