Time, Yaw, MyYaw, TransX, TransY, TransZ
0.000031,1.570796,90.524992,5.500000,6.508000,0.000000
1.405426,1.349847,77.791679,5.850904,6.903314,0.000000
1.415571,1.346884,77.620948,5.858281,6.910787,0.000000
1.425513,1.343984,77.453811,5.865603,6.918186,0.000000
1.435636,1.341035,77.283844,5.873154,6.925796,0.000000
1.445518,1.338160,77.118158,5.880619,6.933301,0.000000
1.455640,1.335221,76.948768,5.888360,6.941065,0.000000
1.465510,1.332360,76.783912,5.896002,6.948710,0.000000
1.475674,1.329421,76.614517,5.903969,6.956661,0.000000
1.485524,1.326580,76.450779,5.911783,6.964440,0.000000
1.495545,1.323697,76.284647,5.919828,6.972431,0.000000
1.505517,1.320837,76.119824,5.927929,6.980458,0.000000
1.515595,1.317956,75.953794,5.936213,6.988647,0.000000
1.525599,1.315106,75.789568,5.944534,6.996852,0.000000
1.535577,1.312275,75.626383,5.952930,7.005112,0.000000
1.545513,1.309466,75.464550,5.961386,7.013412,0.000000
1.555568,1.306637,75.301465,5.970042,7.021888,0.000000
1.565533,1.303845,75.140591,5.978717,7.030364,0.000000
1.575563,1.301049,74.979453,5.987547,7.038971,0.000000
1.585530,1.298285,74.820148,5.996420,7.047600,0.000000
1.595545,1.295522,74.660952,6.005433,7.056346,0.000000
1.605511,1.292789,74.503422,6.014501,7.065126,0.000000
1.615639,1.290028,74.344312,6.023817,7.074125,0.000000
1.625535,1.287347,74.189828,6.033017,7.082993,0.000000
1.635617,1.284634,74.033470,6.042491,7.092104,0.000000
1.645526,1.281986,73.880855,6.051900,7.101134,0.000000
1.655644,1.279302,73.726149,6.061610,7.110432,0.000000
1.665521,1.276701,73.576267,6.071186,7.119582,0.000000
1.675586,1.274071,73.424731,6.081045,7.128983,0.000000
1.685505,1.271501,73.276608,6.090861,7.138322,0.000000
1.695479,1.268939,73.128930,6.100831,7.147789,0.000000
1.705550,1.266374,72.981145,6.110999,7.157423,0.000000
1.715561,1.263849,72.835610,6.121207,7.167076,0.000000
1.725587,1.261344,72.691244,6.131533,7.176819,0.000000
1.735563,1.258876,72.549039,6.141907,7.186589,0.000000
1.745587,1.256422,72.407620,6.152433,7.196482,0.000000
1.755571,1.254005,72.268280,6.163018,7.206410,0.000000
1.765521,1.251622,72.130953,6.173668,7.216379,0.000000
1.775580,1.249240,71.993724,6.184537,7.226533,0.000000
1.785557,1.246907,71.859248,6.195418,7.236679,0.000000
1.795477,1.244615,71.727191,6.206337,7.246841,0.000000
1.805511,1.242327,71.595314,6.217484,7.257196,0.000000
1.815477,1.240085,71.466081,6.228656,7.267555,0.000000
1.825567,1.237846,71.337051,6.240070,7.278117,0.000000
1.835566,1.235659,71.211003,6.251485,7.288661,0.000000
1.845619,1.233492,71.086156,6.263063,7.299337,0.000000
1.855565,1.231382,70.964530,6.274620,7.309973,0.000000
1.865512,1.229304,70.844798,6.286279,7.320684,0.000000
1.875588,1.227234,70.725503,6.298192,7.331610,0.000000
1.885572,1.225218,70.609317,6.310097,7.342510,0.000000
1.895591,1.223230,70.494768,6.322148,7.353523,0.000000
1.905520,1.221296,70.383312,6.334190,7.364510,0.000000
1.915606,1.219369,70.272229,6.346526,7.375746,0.000000
1.925525,1.217510,70.165110,6.358761,7.386871,0.000000
1.935594,1.215662,70.058587,6.371281,7.398237,0.000000
1.945534,1.213875,69.955627,6.383743,7.409533,0.000000
1.955583,1.212108,69.853812,6.396444,7.421026,0.000000
1.965541,1.210397,69.755203,6.409130,7.432488,0.000000
1.975591,1.208711,69.658018,6.422036,7.444130,0.000000
1.985580,1.207076,69.563775,6.434967,7.455776,0.000000
1.995578,1.205481,69.471847,6.448009,7.467506,0.000000
2.005522,1.203936,69.382804,6.461083,7.479246,0.000000
2.015518,1.202425,69.295754,6.474324,7.491120,0.000000
2.025483,1.200962,69.211442,6.487626,7.503031,0.000000
2.035539,1.199530,69.128899,6.501151,7.515123,0.000000
2.045515,1.198153,69.049562,6.514668,7.527193,0.000000
2.055550,1.196813,68.972338,6.528368,7.539408,0.000000
2.065512,1.195528,68.898279,6.542068,7.551607,0.000000
2.075665,1.194265,68.825496,6.556133,7.564115,0.000000
2.085529,1.193084,68.757419,6.569896,7.576338,0.000000
