Time, Yaw, MyYaw, TransX, TransY, TransZ
0.000063,1.570796,90.524992,2.500000,5.508000,0.000000
1.305224,1.475028,85.005889,2.962515,5.818084,0.000000
1.315436,1.472775,84.876001,2.972305,5.824311,0.000000
1.325373,1.470549,84.747727,2.981944,5.830432,0.000000
1.335366,1.468278,84.616838,2.991751,5.836651,0.000000
1.345383,1.465968,84.483712,3.001695,5.842949,0.000000
1.355369,1.463631,84.349079,3.011723,5.849289,0.000000
1.365282,1.461279,84.213519,3.021790,5.855645,0.000000
1.375370,1.458852,84.073619,3.032149,5.862175,0.000000
1.385318,1.456424,83.933708,3.042478,5.868677,0.000000
1.395375,1.453935,83.790284,3.053036,5.875313,0.000000
1.405309,1.451443,83.646638,3.063578,5.881930,0.000000
1.415378,1.448882,83.499057,3.074378,5.888698,0.000000
1.425301,1.446324,83.351633,3.085135,5.895430,0.000000
1.435384,1.443689,83.199796,3.096182,5.902333,0.000000
1.445305,1.441062,83.048401,3.107164,5.909185,0.000000
1.455379,1.438359,82.892642,3.118430,5.916204,0.000000
1.465277,1.435668,82.737562,3.129614,5.923162,0.000000
1.475302,1.432908,82.578464,3.141055,5.930269,0.000000
1.485307,1.430117,82.417621,3.152588,5.937423,0.000000
1.495308,1.427291,82.254762,3.164232,5.944635,0.000000
1.505311,1.424428,82.089812,3.175991,5.951908,0.000000
1.515344,1.421521,81.922253,3.187902,5.959264,0.000000
1.525301,1.418599,81.753880,3.199836,5.966623,0.000000
1.535357,1.415612,81.581706,3.212004,5.974116,0.000000
1.545299,1.412621,81.409375,3.224149,5.981584,0.000000
1.555375,1.409554,81.232594,3.236571,5.989211,0.000000
1.565295,1.406497,81.056421,3.248915,5.996779,0.000000
1.575317,1.403372,80.876305,3.261500,6.004483,0.000000
1.585302,1.400220,80.694696,3.274152,6.012218,0.000000
1.595314,1.397023,80.510434,3.286953,6.020033,0.000000
1.605326,1.393788,80.324002,3.299867,6.027905,0.000000
1.615303,1.390527,80.136055,3.312850,6.035808,0.000000
1.625316,1.387216,79.945233,3.325994,6.043797,0.000000
1.635289,1.383880,79.752992,3.339198,6.051811,0.000000
1.645302,1.380492,79.557770,3.352568,6.059915,0.000000
1.655278,1.377079,79.361060,3.366003,6.068046,0.000000
1.665277,1.373619,79.161689,3.379581,6.076252,0.000000
1.675310,1.370109,78.959400,3.393318,6.084542,0.000000
1.685302,1.366575,78.755718,3.407111,6.092855,0.000000
1.695316,1.362994,78.549335,3.421048,6.101242,0.000000
1.705291,1.359387,78.341501,3.435044,6.109653,0.000000
1.715321,1.355722,78.130272,3.449228,6.118165,0.000000
1.725338,1.352022,77.917036,3.463506,6.126722,0.000000
1.735341,1.348288,77.701833,3.477876,6.135321,0.000000
1.745313,1.344526,77.485014,3.492314,6.143949,0.000000
1.755313,1.340713,77.265318,3.506902,6.152654,0.000000
1.765280,1.336875,77.044078,3.521552,6.161385,0.000000
1.775321,1.332967,76.818880,3.536423,6.170235,0.000000
1.785344,1.329026,76.591779,3.551377,6.179122,0.000000
1.795323,1.325062,76.363346,3.566377,6.188024,0.000000
1.805320,1.321052,76.132215,3.581513,6.196994,0.000000
1.815319,1.317000,75.898709,3.596761,6.206019,0.000000
1.825318,1.312908,75.662878,3.612119,6.215096,0.000000
1.835311,1.308778,75.424869,3.627576,6.224220,0.000000
1.845366,1.304581,75.183006,3.643240,6.233453,0.000000
1.855268,1.300408,74.942539,3.658771,6.242595,0.000000
1.865281,1.296148,74.697016,3.674585,6.251892,0.000000
1.875274,1.291855,74.449632,3.690474,6.261220,0.000000
1.885278,1.287517,74.199601,3.706490,6.270610,0.000000
1.895306,1.283127,73.946620,3.722650,6.280073,0.000000
1.905272,1.278724,73.692851,3.738817,6.289526,0.000000
1.915320,1.274243,73.434604,3.755223,6.299107,0.000000
1.925301,1.269750,73.175705,3.771626,6.308674,0.000000
1.935273,1.265221,72.914668,3.788120,6.318281,0.000000
1.945303,1.260623,72.649711,3.804815,6.327993,0.000000
1.955298,1.256001,72.383317,3.821556,6.337718,0.000000
1.965307,1.251330,72.114148,3.838425,6.347506,0.000000
1.975309,1.246621,71.842763,3.855386,6.357335,0.000000
1.985266,1.241892,71.570213,3.872375,6.367167,0.000000
1.995304,1.237082,71.293041,3.889605,6.377126,0.000000
2.005297,1.232252,71.014708,3.906860,6.387087,0.000000
2.015307,1.227373,70.733501,3.924246,6.397111,0.000000
2.025273,1.222473,70.451136,3.941657,6.407138,0.000000
2.035273,1.217515,70.165385,3.959229,6.417244,0.000000
2.045300,1.212501,69.876454,3.976949,6.427423,0.000000
2.055332,1.207443,69.584934,3.994780,6.437654,0.000000
2.065303,1.202373,69.292784,4.012601,6.447866,0.000000
2.075275,1.197262,68.998185,4.030523,6.458124,0.000000
2.085322,1.192069,68.698941,4.048680,6.468504,0.000000
2.095356,1.186841,68.397646,4.066912,6.478915,0.000000
2.105302,1.181617,68.096606,4.085079,6.489276,0.000000
2.115307,1.176320,67.791327,4.103454,6.499744,0.000000
2.125275,1.171001,67.484790,4.121856,6.510215,0.000000
2.135304,1.165607,67.173935,4.140466,6.520793,0.000000
2.145307,1.160185,66.861438,4.159126,6.531386,0.000000
2.155271,1.154742,66.547755,4.177807,6.541980,0.000000
2.165303,1.149219,66.229498,4.196710,6.552687,0.000000
2.175316,1.143665,65.909401,4.215671,6.563416,0.000000
2.185365,1.138048,65.585698,4.234796,6.574226,0.000000
2.195324,1.132440,65.262510,4.253840,6.584977,0.000000
2.205318,1.126770,64.935733,4.273044,6.595808,0.000000
2.215334,1.121045,64.605815,4.292382,6.606703,0.000000
2.225310,1.115301,64.274806,4.311733,6.617594,0.000000
2.235271,1.109524,63.941862,4.331147,6.628508,0.000000
2.245319,1.103654,63.603598,4.350818,6.639556,0.000000
2.255275,1.097796,63.266012,4.370399,6.650542,0.000000
2.265375,1.091811,62.921059,4.390354,6.661727,0.000000
2.275305,1.085885,62.579546,4.410059,6.672761,0.000000
2.285309,1.079873,62.233073,4.429998,6.683914,0.000000
2.295304,1.073824,61.884491,4.450006,6.695096,0.000000
2.305302,1.067732,61.533391,4.470106,6.706318,0.000000
2.315277,1.061612,61.180702,4.490245,6.717551,0.000000
2.325316,1.055411,60.823326,4.510598,6.728894,0.000000
2.335281,1.049214,60.466177,4.530886,6.740189,0.000000
2.345316,1.042932,60.104148,4.551397,6.751599,0.000000
2.355417,1.036565,59.737264,4.572129,6.763121,0.000000
2.365304,1.030293,59.375781,4.592503,6.774435,0.000000
2.375302,1.023910,59.007912,4.613184,6.785909,0.000000
2.385379,1.017433,58.634672,4.634113,6.797510,0.000000
2.395305,1.011013,58.264683,4.654805,6.808972,0.000000
2.405325,1.004491,57.888797,4.675774,6.820577,0.000000
2.415311,0.997949,57.511819,4.696749,6.832176,0.000000
2.425311,0.991358,57.131952,4.717831,6.843826,0.000000
2.435271,0.984752,56.751256,4.738905,6.855462,0.000000
2.445304,0.978057,56.365423,4.760209,6.867216,0.000000
2.455269,0.971366,55.979831,4.781445,6.878924,0.000000
2.465304,0.964587,55.589171,4.802905,6.890748,0.000000
2.475390,0.957733,55.194156,4.824548,6.902664,0.000000
2.485375,0.950907,54.800749,4.846048,6.914493,0.000000
2.495312,0.944074,54.406962,4.867515,6.926296,0.000000
2.505382,0.937108,54.005533,4.889342,6.938290,0.000000
2.515297,0.930209,53.607967,4.910904,6.950131,0.000000
2.525267,0.923234,53.205950,4.932653,6.962067,0.000000
2.535282,0.916186,52.799801,4.954570,6.974089,0.000000
2.545325,0.909078,52.390179,4.976618,6.986175,0.000000
2.555334,0.901955,51.979660,4.998658,6.998251,0.000000
2.565323,0.894806,51.567695,5.020720,7.010333,0.000000
2.575356,0.887586,51.151597,5.042947,7.022499,0.000000
2.585314,0.880382,50.736399,5.065070,7.034602,0.000000
2.595402,0.873043,50.313462,5.087549,7.046894,0.000000
2.605393,0.865736,49.892388,5.109872,7.059096,0.000000
2.615398,0.858380,49.468431,5.132291,7.071345,0.000000
2.625349,0.851025,49.044573,5.154650,7.083557,0.000000
2.635420,0.843543,48.613378,5.177338,7.095944,0.000000
2.645404,0.836087,48.183675,5.199891,7.108253,0.000000
2.655437,0.828555,47.749637,5.222615,7.120651,0.000000
2.665363,0.821067,47.318090,5.245152,7.132944,0.000000
2.675308,0.813527,46.883548,5.267789,7.145288,0.000000
2.685385,0.805848,46.441044,5.290783,7.157824,0.000000
2.695388,0.798188,45.999595,5.313666,7.170296,0.000000
2.705424,0.790466,45.554574,5.336676,7.182836,0.000000
2.715387,0.782763,45.110605,5.359575,7.195312,0.000000
2.725391,0.774991,44.662747,5.382617,7.207865,0.000000
2.735355,0.767214,44.214524,5.405621,7.220396,0.000000
2.745457,0.759292,43.758002,5.428993,7.233126,0.000000
2.755403,0.751456,43.306408,5.452055,7.245687,0.000000
2.765388,0.743554,42.851013,5.475254,7.258322,0.000000
2.775424,0.735575,42.391179,5.498622,7.271049,0.000000
2.785403,0.727606,41.931915,5.521903,7.283729,0.000000
2.795332,0.719641,41.472925,5.545114,7.296371,0.000000
2.805317,0.711597,41.009327,5.568500,7.309110,0.000000
2.815272,0.703542,40.545144,5.591858,7.321835,0.000000
2.825273,0.695416,40.076806,5.615368,7.334644,0.000000
2.835279,0.687250,39.606241,5.638931,7.347485,0.000000
2.845306,0.679033,39.132693,5.662586,7.360378,0.000000
2.855269,0.670835,38.660209,5.686131,7.373214,0.000000
2.865305,0.662543,38.182344,5.709885,7.386168,0.000000
2.875318,0.654236,37.703594,5.733625,7.399118,0.000000
2.885303,0.645919,37.224284,5.757335,7.412056,0.000000
