Time, Yaw, MyYaw, TransX, TransY, TransZ
0.000119,1.570796,90.524992,2.500000,5.508000,0.000000
1.304926,1.573259,90.666922,3.012299,5.579555,0.000000
1.315110,1.573380,90.673917,3.022880,5.581424,0.000000
1.325000,1.573502,90.680912,3.033270,5.583272,0.000000
1.335159,1.573630,90.688307,3.044062,5.585205,0.000000
1.345018,1.573758,90.695691,3.054650,5.587113,0.000000
1.355140,1.573894,90.703488,3.065638,5.589107,0.000000
1.364982,1.574029,90.711282,3.076436,5.591080,0.000000
1.375113,1.574172,90.719527,3.087667,5.593145,0.000000
1.385019,1.574316,90.727811,3.098766,5.595200,0.000000
1.395118,1.574466,90.736486,3.110198,5.597330,0.000000
1.405006,1.574617,90.745206,3.121504,5.599451,0.000000
1.415003,1.574775,90.754256,3.133052,5.601631,0.000000
1.424998,1.574936,90.763540,3.144712,5.603847,0.000000
1.435073,1.575102,90.773141,3.156581,5.606118,0.000000
1.445022,1.575271,90.782866,3.168418,5.608397,0.000000
1.455070,1.575446,90.792936,3.180489,5.610737,0.000000
1.465018,1.575623,90.803156,3.192554,5.613091,0.000000
1.475117,1.575808,90.813788,3.204918,5.615519,0.000000
1.485016,1.575993,90.824464,3.217151,5.617937,0.000000
1.495138,1.576187,90.835648,3.229777,5.620449,0.000000
1.504986,1.576380,90.846787,3.242172,5.622931,0.000000
1.515080,1.576583,90.858477,3.254993,5.625516,0.000000
1.524964,1.576786,90.870191,3.267659,5.628085,0.000000
1.535056,1.576999,90.882429,3.280706,5.630750,0.000000
1.544962,1.577212,90.894720,3.293627,5.633405,0.000000
1.555062,1.577434,90.907536,3.306915,5.636154,0.000000
1.565031,1.577659,90.920471,3.320143,5.638908,0.000000
1.575012,1.577888,90.933713,3.333500,5.641707,0.000000
1.584999,1.578123,90.947253,3.346977,5.644550,0.000000
1.595036,1.578365,90.961160,3.360635,5.647449,0.000000
1.605007,1.578610,90.975276,3.374315,5.650372,0.000000
1.615070,1.578862,90.989828,3.388233,5.653365,0.000000
1.624996,1.579117,91.004487,3.402073,5.656360,0.000000
1.635006,1.579378,91.019583,3.416142,5.659424,0.000000
1.644995,1.579645,91.034960,3.430292,5.662526,0.000000
1.655066,1.579920,91.050786,3.444670,5.665698,0.000000
1.665029,1.580197,91.066762,3.459002,5.668880,0.000000
1.675067,1.580482,91.083188,3.473555,5.672132,0.000000
1.684961,1.580769,91.099702,3.488005,5.675382,0.000000
1.694972,1.581064,91.116744,3.502736,5.678716,0.000000
1.704969,1.581366,91.134097,3.517555,5.682091,0.000000
1.715073,1.581676,91.151984,3.532643,5.685550,0.000000
1.724969,1.581986,91.169842,3.547528,5.688984,0.000000
1.735002,1.582306,91.188293,3.562725,5.692512,0.000000
1.744964,1.582630,91.206965,3.577923,5.696063,0.000000
1.755006,1.582963,91.226144,3.593350,5.699691,0.000000
1.764974,1.583299,91.245540,3.608771,5.703340,0.000000
1.774998,1.583644,91.265406,3.624383,5.707058,0.000000
1.785000,1.583994,91.285594,3.640067,5.710817,0.000000
1.795094,1.584354,91.306345,3.656003,5.714660,0.000000
1.804987,1.584714,91.327051,3.671725,5.718476,0.000000
1.815150,1.585089,91.348706,3.687982,5.722448,0.000000
1.825042,1.585462,91.370159,3.703908,5.726362,0.000000
1.835154,1.585849,91.392480,3.720293,5.730416,0.000000
1.844986,1.586232,91.414562,3.736326,5.734407,0.000000
