Time, Yaw, MyYaw, TransX, TransY, TransZ
0.000041,1.570796,90.524992,2.500000,5.508000,0.000000
1.303972,1.640365,94.534252,2.942474,5.735653,0.000000
1.314147,1.641927,94.624242,2.951526,5.740763,0.000000
1.324149,1.643483,94.713909,2.960521,5.745855,0.000000
1.334199,1.645067,94.805233,2.969658,5.751042,0.000000
1.344146,1.646657,94.896823,2.978797,5.756246,0.000000
1.354109,1.648269,94.989765,2.988046,5.761527,0.000000
1.364104,1.649909,95.084232,2.997422,5.766896,0.000000
1.374183,1.651583,95.180731,3.006973,5.772381,0.000000
1.384068,1.653246,95.276590,3.016436,5.777831,0.000000
1.394015,1.654941,95.374276,3.026053,5.783387,0.000000
1.404057,1.656674,95.474133,3.035858,5.789067,0.000000
1.414118,1.658432,95.575446,3.045778,5.794831,0.000000
1.424045,1.660188,95.676654,3.055662,5.800590,0.000000
1.434118,1.661992,95.780611,3.065787,5.806508,0.000000
1.444051,1.663793,95.884381,3.075866,5.812417,0.000000
1.454092,1.665635,95.990539,3.086149,5.818463,0.000000
1.464050,1.667484,96.097081,3.096442,5.824532,0.000000
1.474048,1.669362,96.205330,3.106871,5.830701,0.000000
1.484048,1.671263,96.314873,3.117397,5.836945,0.000000
1.494047,1.673186,96.425684,3.128016,5.843263,0.000000
1.504045,1.675130,96.537759,3.138726,5.849655,0.000000
1.514045,1.677098,96.651158,3.149534,5.856124,0.000000
1.524040,1.679087,96.765783,3.160430,5.862666,0.000000
1.534047,1.681101,96.881841,3.171431,5.869292,0.000000
1.544044,1.683135,96.999071,3.182514,5.875986,0.000000
1.554108,1.685206,97.118415,3.193765,5.882804,0.000000
1.564040,1.687272,97.237483,3.204961,5.889608,0.000000
1.574057,1.689378,97.358877,3.216344,5.896548,0.000000
1.584054,1.691503,97.481344,3.227796,5.903552,0.000000
1.594119,1.693666,97.605972,3.239419,5.910682,0.000000
1.604053,1.695823,97.730276,3.250980,5.917796,0.000000
1.614096,1.698027,97.857276,3.262760,5.925067,0.000000
1.624045,1.700233,97.984406,3.274520,5.932348,0.000000
1.634044,1.702472,98.113488,3.286428,5.939745,0.000000
1.644048,1.704737,98.243973,3.298433,5.947224,0.000000
1.654107,1.707036,98.376509,3.310593,5.954825,0.000000
1.664040,1.709330,98.508710,3.322689,5.962409,0.000000
1.674117,1.711681,98.644169,3.335050,5.970184,0.000000
1.684040,1.714018,98.778882,3.347309,5.977920,0.000000
1.694038,1.716397,98.915961,3.359749,5.985795,0.000000
1.704043,1.718800,99.054463,3.372284,5.993755,0.000000
1.714069,1.721232,99.194622,3.384935,6.001814,0.000000
1.724135,1.723697,99.336680,3.397721,6.009987,0.000000
1.734137,1.726170,99.479195,3.410514,6.018190,0.000000
1.744135,1.728666,99.623014,3.423388,6.026472,0.000000
1.754121,1.731182,99.767991,3.436331,6.034825,0.000000
1.764114,1.733722,99.914425,3.449367,6.043266,0.000000
1.774111,1.736288,100.062260,3.462493,6.051792,0.000000
1.784105,1.738876,100.211412,3.475699,6.060399,0.000000
1.794120,1.741493,100.362239,3.489017,6.069108,0.000000
1.804107,1.744126,100.514001,3.502380,6.077875,0.000000
1.814192,1.746809,100.668615,3.515958,6.086812,0.000000
1.824113,1.749472,100.822073,3.529396,6.095687,0.000000
1.834119,1.752181,100.978188,3.543030,6.104721,0.000000
1.844107,1.754909,101.135401,3.556722,6.113824,0.000000
1.854167,1.757680,101.295096,3.570592,6.123076,0.000000
1.864103,1.760440,101.454183,3.584371,6.132299,0.000000
1.874118,1.763247,101.615902,3.598340,6.141680,0.000000
1.884125,1.766074,101.778847,3.612375,6.151138,0.000000
1.894075,1.768909,101.942228,3.626410,6.160627,0.000000
1.904065,1.771779,102.107620,3.640578,6.170239,0.000000
1.914017,1.774661,102.273732,3.654769,6.179900,0.000000
1.924044,1.777589,102.442462,3.669143,6.189719,0.000000
1.934056,1.780536,102.612299,3.683572,6.199609,0.000000
1.944051,1.783502,102.783214,3.698052,6.209569,0.000000
1.954046,1.786491,102.955498,3.712608,6.219616,0.000000
1.964046,1.789506,103.129204,3.727243,6.229753,0.000000
1.974123,1.792567,103.305645,3.742068,6.240056,0.000000
1.984104,1.795623,103.481761,3.756824,6.250348,0.000000
1.994160,1.798726,103.660572,3.771765,6.260806,0.000000
2.004129,1.801825,103.839191,3.786648,6.271260,0.000000
2.014018,1.804923,104.017708,3.801481,6.281716,0.000000
2.024105,1.808107,104.201181,3.816684,6.292470,0.000000
2.034225,1.811324,104.386613,3.832006,6.303348,0.000000
2.044115,1.814492,104.569190,3.847050,6.314067,0.000000
2.054126,1.817722,104.755347,3.862347,6.325004,0.000000
2.064113,1.820968,104.942409,3.877676,6.336004,0.000000
2.074125,1.824246,105.131274,3.893109,6.347119,0.000000
2.084141,1.827548,105.321585,3.908617,6.358328,0.000000
2.094112,1.830858,105.512368,3.924120,6.369574,0.000000
2.104103,1.834199,105.704880,3.939720,6.380932,0.000000
2.114086,1.837560,105.898578,3.955373,6.392370,0.000000
2.124057,1.840940,106.093370,3.971070,6.403883,0.000000
2.134010,1.844337,106.289153,3.986803,6.415464,0.000000
2.144048,1.847787,106.487945,4.002734,6.427234,0.000000
2.154015,1.851235,106.686647,4.018612,6.439009,0.000000
2.164047,1.854728,106.887981,4.034656,6.450951,0.000000
2.174111,1.858256,107.091318,4.050814,6.463024,0.000000
2.184062,1.861768,107.293664,4.066848,6.475049,0.000000
2.194045,1.865313,107.498004,4.082995,6.487204,0.000000
2.204056,1.868892,107.704227,4.099246,6.499483,0.000000
2.214071,1.872494,107.911844,4.115560,6.511857,0.000000
2.224059,1.876110,108.120230,4.131888,6.524289,0.000000
2.234051,1.879750,108.329993,4.148279,6.536816,0.000000
2.244058,1.883418,108.541405,4.164752,6.549454,0.000000
2.254046,1.887102,108.753695,4.181247,6.562158,0.000000
2.264115,1.890838,108.969011,4.197929,6.575056,0.000000
2.274045,1.894546,109.182671,4.214437,6.587869,0.000000
2.284043,1.898301,109.399061,4.231109,6.600859,0.000000
2.294044,1.902079,109.616801,4.247838,6.613944,0.000000
2.304039,1.905877,109.835701,4.264609,6.627114,0.000000
2.314097,1.909722,110.057264,4.281535,6.640458,0.000000
2.324048,1.913548,110.277755,4.298333,6.653753,0.000000
2.334114,1.917440,110.502058,4.315372,6.667293,0.000000
2.344013,1.921290,110.723915,4.332178,6.680701,0.000000
2.354069,1.925222,110.950550,4.349298,6.694413,0.000000
2.364043,1.929144,111.176587,4.366324,6.708105,0.000000
2.374047,1.933100,111.404546,4.383446,6.721930,0.000000
2.384072,1.937085,111.634235,4.400650,6.735876,0.000000
2.394061,1.941079,111.864370,4.417838,6.749867,0.000000
2.404071,1.945102,112.096211,4.435105,6.763978,0.000000
2.414021,1.949122,112.327884,4.452310,6.778097,0.000000
2.424043,1.953192,112.562467,4.469682,6.792411,0.000000
2.434046,1.957276,112.797821,4.487062,6.806791,0.000000
2.444058,1.961385,113.034601,4.504497,6.821276,0.000000
2.454007,1.965489,113.271105,4.521863,6.835763,0.000000
2.464121,1.969681,113.512735,4.539555,6.850584,0.000000
2.474043,1.973816,113.750988,4.556950,6.865217,0.000000
2.484008,1.977988,113.991459,4.574457,6.880006,0.000000
2.494050,1.982213,114.234950,4.592133,6.895001,0.000000
2.504081,1.986455,114.479385,4.609828,6.910074,0.000000
2.514118,1.990719,114.725142,4.627567,6.925251,0.000000
2.524039,1.994954,114.969227,4.645136,6.940345,0.000000
2.534049,1.999248,115.216633,4.662893,6.955667,0.000000
2.544009,2.003539,115.463960,4.680594,6.971005,0.000000
2.554044,2.007883,115.714308,4.698460,6.986554,0.000000
2.564115,2.012263,115.966694,4.716419,7.002252,0.000000
2.574044,2.016600,116.216655,4.734156,7.017822,0.000000
2.584049,2.020990,116.469639,4.752056,7.033604,0.000000
2.594011,2.025380,116.722661,4.769907,7.049413,0.000000
2.604061,2.029829,116.979026,4.787943,7.065455,0.000000
2.614044,2.034266,117.234772,4.805884,7.081483,0.000000
2.624092,2.038752,117.493303,4.823968,7.097711,0.000000
2.634045,2.043215,117.750462,4.841905,7.113878,0.000000
2.644130,2.047755,118.012104,4.860102,7.130354,0.000000
2.654044,2.052237,118.270395,4.878014,7.146645,0.000000
2.664040,2.056774,118.531872,4.896096,7.163163,0.000000
2.674010,2.061317,118.793698,4.914150,7.179732,0.000000
2.684052,2.065912,119.058496,4.932357,7.196516,0.000000
2.694011,2.070486,119.322124,4.950432,7.213254,0.000000
2.704043,2.075112,119.588688,4.968655,7.230207,0.000000
2.714104,2.079769,119.857072,4.986950,7.247306,0.000000
2.724048,2.084389,120.123342,5.005048,7.264300,0.000000
2.734012,2.089036,120.391140,5.023199,7.281421,0.000000
2.744043,2.093731,120.661718,5.041485,7.298751,0.000000
2.754035,2.098425,120.932228,5.059714,7.316108,0.000000
2.764042,2.103143,121.204136,5.077985,7.333586,0.000000
2.774009,2.107859,121.475892,5.096192,7.351086,0.000000
2.784041,2.112621,121.750365,5.114530,7.368795,0.000000
2.794080,2.117404,122.025988,5.132890,7.386611,0.000000
2.804043,2.122167,122.300469,5.151122,7.404386,0.000000
2.814116,2.126998,122.578909,5.169564,7.422453,0.000000
2.824047,2.131777,122.854304,5.187752,7.440357,0.000000
2.834008,2.136586,123.131445,5.206002,7.458410,0.000000
2.844058,2.141453,123.411926,5.224419,7.476716,0.000000
2.854119,2.146341,123.693636,5.242864,7.495140,0.000000
2.864043,2.151177,123.972355,5.261059,7.513404,0.000000
2.874007,2.156048,124.253040,5.279331,7.531835,0.000000
2.884046,2.160970,124.536697,5.297743,7.550500,0.000000
2.894009,2.165869,124.819029,5.316016,7.569116,0.000000
2.904020,2.170806,125.103561,5.334379,7.587916,0.000000
2.914053,2.175768,125.389526,5.352780,7.606852,0.000000
2.924089,2.180745,125.676357,5.371184,7.625886,0.000000
2.934047,2.185698,125.961777,5.389445,7.644868,0.000000
2.944118,2.190720,126.251204,5.407908,7.664158,0.000000
2.954050,2.195686,126.537382,5.426112,7.683275,0.000000
2.964050,2.200699,126.826272,5.444435,7.702615,0.000000
2.974097,2.205749,127.117291,5.462840,7.722143,0.000000
2.984047,2.210762,127.406187,5.481058,7.741572,0.000000
2.994077,2.215828,127.698145,5.499415,7.761253,0.000000
3.004043,2.220873,127.988927,5.517646,7.780901,0.000000
3.014086,2.225970,128.282647,5.536009,7.800794,0.000000
3.024007,2.231016,128.573479,5.554138,7.820538,0.000000
3.034115,2.236169,128.870446,5.572596,7.840748,0.000000
3.044045,2.241243,129.162839,5.590717,7.860695,0.000000
3.054113,2.246398,129.459929,5.609076,7.881013,0.000000
3.064043,2.251494,129.753575,5.627170,7.901145,0.000000
3.074050,2.256638,130.050076,5.645388,7.921524,0.000000
3.084009,2.261769,130.345761,5.663503,7.941899,0.000000
3.094007,2.266930,130.643191,5.681672,7.962446,0.000000
3.104043,2.272121,130.942311,5.699892,7.983164,0.000000
3.114012,2.277286,131.239968,5.717971,8.003836,0.000000
3.124053,2.282498,131.540357,5.736162,8.024752,0.000000
3.134075,2.287709,131.840649,5.754296,8.045718,0.000000
3.144034,2.292896,132.139596,5.772296,8.066646,0.000000
3.154013,2.298102,132.439625,5.790309,8.087708,0.000000
3.164046,2.303345,132.741747,5.808396,8.108975,0.000000
3.174120,2.308616,133.045557,5.826531,8.130422,0.000000
3.184031,2.313811,133.344934,5.844350,8.151615,0.000000
3.194010,2.319048,133.646749,5.862263,8.173042,0.000000
3.204050,2.324325,133.950849,5.880259,8.194693,0.000000
3.214051,2.329588,134.254159,5.898157,8.216351,0.000000
3.224043,2.334853,134.557600,5.916011,8.238083,0.000000
3.234049,2.340133,134.861838,5.933860,8.259937,0.000000
3.244042,2.345411,135.166008,5.951655,8.281852,0.000000
3.254044,2.350699,135.470805,5.969434,8.303878,0.000000
3.264107,2.356026,135.777786,5.987289,8.326131,0.000000
3.274046,2.361292,136.081266,6.004890,8.348199,0.000000
3.284030,2.366587,136.386431,6.022538,8.370459,0.000000
3.294042,2.371902,136.692721,6.040200,8.392872,0.000000
3.304070,2.377230,136.999749,6.057854,8.415411,0.000000
3.314045,2.382533,137.305387,6.075377,8.437920,0.000000
3.324049,2.387856,137.612153,6.092915,8.460587,0.000000
3.334056,2.393184,137.919212,6.110418,8.483351,0.000000
3.344064,2.398516,138.226497,6.127884,8.506207,0.000000
3.354045,2.403837,138.533103,6.145262,8.529090,0.000000
3.364113,2.409206,138.842531,6.162749,8.552262,0.000000
3.374094,2.414531,139.149437,6.180043,8.575326,0.000000
3.384038,2.419839,139.455332,6.197232,8.598393,0.000000
3.394043,2.425182,139.763221,6.214482,8.621691,0.000000
3.404047,2.430524,140.071123,6.231684,8.645074,0.000000
3.414057,2.435872,140.379297,6.248851,8.668562,0.000000
3.424071,2.441222,140.687640,6.265979,8.692147,0.000000
3.434104,2.446584,140.996631,6.283092,8.715870,0.000000
3.444019,2.451882,141.301973,6.299956,8.739398,0.000000
3.454053,2.457244,141.610984,6.316972,8.763298,0.000000
3.464121,2.462624,141.920993,6.333995,8.787367,0.000000
3.474043,2.467925,142.226508,6.350722,8.811177,0.000000
3.484046,2.473268,142.534447,6.367533,8.835268,0.000000
3.494013,2.478591,142.841195,6.384232,8.859360,0.000000
3.504042,2.483945,143.149751,6.400980,8.883688,0.000000
3.514088,2.489307,143.458745,6.417704,8.908149,0.000000
3.524046,2.494619,143.764874,6.434224,8.932480,0.000000
3.534114,2.499987,144.074263,6.450872,8.957170,0.000000
3.544041,2.505277,144.379127,6.467230,8.981598,0.000000
3.554011,2.510587,144.685155,6.483602,9.006221,0.000000
3.564041,2.515926,144.992801,6.500013,9.031077,0.000000
3.574112,2.521282,145.301496,6.516432,9.056124,0.000000
3.584041,2.526559,145.605596,6.532560,9.080903,0.000000
3.594008,2.531851,145.910601,6.548690,9.105863,0.000000
3.604023,2.537165,146.216794,6.564834,9.131028,0.000000
3.614033,2.542469,146.522508,6.580907,9.156265,0.000000
3.624067,2.547782,146.828669,6.596956,9.181651,0.000000
3.634053,2.553063,147.133049,6.612865,9.207003,0.000000
3.644058,2.558349,147.437642,6.628739,9.232487,0.000000
3.654043,2.563617,147.741226,6.644514,9.258003,0.000000
3.664055,2.568892,148.045275,6.660267,9.283676,0.000000
3.674053,2.574153,148.348464,6.675929,9.309395,0.000000
3.684010,2.579386,148.650006,6.691461,9.335096,0.000000
3.694007,2.584631,148.952292,6.706984,9.360982,0.000000
3.704043,2.589889,149.255321,6.722501,9.387056,0.000000
3.714047,2.595122,149.556855,6.737895,9.413128,0.000000
3.724059,2.600350,149.858149,6.753231,9.439307,0.000000
3.734040,2.605552,150.157980,6.768447,9.465488,0.000000
3.744044,2.610758,150.457977,6.783627,9.491815,0.000000
3.754024,2.615941,150.756655,6.798694,9.518158,0.000000
3.764117,2.621172,151.058148,6.813859,9.544885,0.000000
3.774044,2.626308,151.354102,6.828700,9.571257,0.000000
3.784058,2.631477,151.652016,6.843595,9.597941,0.000000
3.794046,2.636622,151.948526,6.858375,9.624639,0.000000
3.804050,2.641764,152.244845,6.873101,9.651462,0.000000
3.814087,2.646911,152.541456,6.887797,9.678455,0.000000
